Treatment_pH,Bean,Germinated,Length_mm
7.0,1,1,31
7.0,2,1,30
7.0,3,1,1
7.0,4,1,4
7.0,5,1,48
7.0,6,1,26
7.0,7,1,22
7.0,8,1,20
7.0,9,1,35
6.2,1,1,2
6.2,2,1,65
6.2,3,1,5
6.2,4,1,16
6.2,5,1,18
6.2,6,1,31
6.2,7,1,32
6.2,8,1,37
6.2,9,1,18
6.2,10,1,85
